name,bank,branch,gu,addr,lat,lng
KB국민은행 압구정역,KB국민은행,압구정역,강남구,서울특별시 강남구 신사동 압구정로160,37.526264,127.027235
KB국민은행 압구정중앙,KB국민은행,압구정중앙,강남구,서울특별시 강남구 신사동 압구정로222,37.528434,127.031751
KB국민은행 약수역,KB국민은행,약수역,중구,서울특별시 중구 신당동 다산로11길3,37.554427,127.010029
KB국민은행 양재남,KB국민은행,양재남,서초구,서울특별시 서초구 양재동 논현로79,37.476916,127.044788
KB국민은행 양재역,KB국민은행,양재역,강남구,서울특별시 강남구 도곡동 강남대로262,37.48696,127.033445
KB국민은행 양천,KB국민은행,양천,양천구,서울특별시 양천구 신정동 목동동로67,37.515709,126.862501
KB국민은행 양평동,KB국민은행,양평동,영등포구,서울특별시 영등포구 양평동4가 선유로265,37.536342,126.897609
KB국민은행 언주로,KB국민은행,언주로,강남구,서울특별시 강남구 논현동 언주로706,37.516016,127.035751
KB국민은행 여의도,KB국민은행,여의도,영등포구,서울특별시 영등포구 여의도동 여의나루로50,37.521805,126.925651
KB국민은행 여의도리버타워(점),KB국민은행,여의도리버타워(점),영등포구,서울특별시 영등포구 여의도동 63로36,37.519427,126.938587
KB국민은행 여의도영업부,KB국민은행,여의도영업부,영등포구,서울특별시 영등포구 여의도동 국제금융로8길26,37.520877,126.92789
KB국민은행 역삼PB센터,KB국민은행,역삼PB센터,강남구,서울특별시 강남구 역삼동 강남대로298,37.490053,127.032164
KB국민은행 역삼동,KB국민은행,역삼동,강남구,서울특별시 강남구 역삼동 강남대로298,37.490053,127.032164
KB국민은행 역삼역,KB국민은행,역삼역,강남구,서울특별시 강남구 역삼동 논현로531,37.503756,127.035151
KB국민은행 역삼중앙,KB국민은행,역삼중앙,강남구,서울특별시 강남구 역삼동 역삼로175,37.495764,127.038257
KB국민은행 역촌동,KB국민은행,역촌동,은평구,서울특별시 은평구 갈현동 서오릉로188,37.613585,126.912842
KB국민은행 연신내,KB국민은행,연신내,은평구,서울특별시 은평구 갈현동 통일로861,37.619785,126.920195
KB국민은행 연희동,KB국민은행,연희동,서대문구,서울특별시 서대문구 연희동 연희로113,37.568042,126.931542
KB국민은행 염창동,KB국민은행,염창동,강서구,서울특별시 강서구 염창동 양천로643,37.555465,126.864671
KB국민은행 영동,KB국민은행,영동,강남구,서울특별시 강남구 논현동 선릉로601,37.510504,127.043438
KB국민은행 영등포,KB국민은행,영등포,영등포구,서울특별시 영등포구 영등포동4가 영등포로194,37.520018,126.902955
KB국민은행 영등포구청역,KB국민은행,영등포구청역,영등포구,서울특별시 영등포구 당산동3가 당산로133,37.526717,126.89654
KB국민은행 영등포중기타운,KB국민은행,영등포중기타운,영등포구,서울특별시 영등포구 영등포동2가 버드나루로47,37.522775,126.910937
KB국민은행 영등포하이테크,KB국민은행,영등포하이테크,영등포구,서울특별시 영등포구 문래동3가 경인로775,37.514762,126.897536
KB국민은행 오류동,KB국민은행,오류동,구로구,서울특별시 구로구 오류동 경인로176,37.494361,126.841051
KB국민은행 오장동(점),KB국민은행,오장동(점),중구,서울특별시 중구 쌍림동 동호로336,37.564411,127.002876
KB국민은행 옥수동,KB국민은행,옥수동,성동구,서울특별시 성동구 옥수동 독서당로187,37.542687,127.011883
KB국민은행 올림픽PB센터,KB국민은행,올림픽PB센터,송파구,서울특별시 송파구 방이동 위례성대로138,37.511793,127.126818
KB국민은행 왕십리,KB국민은행,왕십리,성동구,서울특별시 성동구 하왕십리동 왕십리로410,37.56484,127.028646
KB국민은행 왕십리역,KB국민은행,왕십리역,성동구,서울특별시 성동구 행당동 왕십리광장로17,37.561442,127.038394
KB국민은행 용답동,KB국민은행,용답동,성동구,서울특별시 성동구 용답동 천호대로320,37.564407,127.055131
KB국민은행 용산,KB국민은행,용산,용산구,서울특별시 용산구 한강로3가 청파로74,37.532788,126.959558
KB국민은행 우면동(점),KB국민은행,우면동(점),서초구,서울특별시 서초구 우면동 태봉로62,37.464072,127.024996
KB국민은행 우장산역,KB국민은행,우장산역,강서구,서울특별시 강서구 화곡동 강서로242,37.547385,126.836763
KB국민은행 월계동(점),KB국민은행,월계동(점),노원구,서울특별시 노원구 월계동 광운로61,37.623009,127.059774
KB국민은행 월곡역,KB국민은행,월곡역,성북구,서울특별시 성북구 하월곡동 화랑로91,37.602984,127.042114
KB국민은행 은평로(점),KB국민은행,은평로(점),은평구,서울특별시 은평구 응암동 은평로147,37.601083,126.92409
KB국민은행 응암오거리,KB국민은행,응암오거리,은평구,서울특별시 은평구 응암동 응암로197,37.589624,126.916804
KB국민은행 이문동,KB국민은행,이문동,동대문구,서울특별시 동대문구 회기동 이문로37,37.590801,127.056117
KB국민은행 이수역,KB국민은행,이수역,서초구,서울특별시 서초구 방배동 동작대로120,37.487251,126.982708
KB국민은행 이촌PB센터,KB국민은행,이촌PB센터,용산구,서울특별시 용산구 이촌1동 이촌로206,37.52089,126.969854
KB국민은행 이태원,KB국민은행,이태원,용산구,서울특별시 용산구 이태원동 이태원로186,37.534305,126.994616
KB국민은행 자양동,KB국민은행,자양동,광진구,서울특별시 광진구 자양동 뚝섬로632,37.531432,127.081007
KB국민은행 자양중앙(점),KB국민은행,자양중앙(점),광진구,서울특별시 광진구 자양동 뚝섬로558,37.534112,127.071869
KB국민은행 잠실,KB국민은행,잠실,송파구,서울특별시 송파구 신천동 올림픽로37길130,37.520882,127.104421
KB국민은행 잠실롯데PB센터,KB국민은행,잠실롯데PB센터,송파구,서울특별시 송파구 잠실동 올림픽로240,37.512329,127.097617
KB국민은행 잠실새내역,KB국민은행,잠실새내역,송파구,서울특별시 송파구 잠실동 올림픽로102,37.511426,127.081962
KB국민은행 잠실역,KB국민은행,잠실역,송파구,서울특별시 송파구 신천동 송파대로562,37.515324,127.099503
KB국민은행 잠실중앙,KB국민은행,잠실중앙,송파구,서울특별시 송파구 잠실동 올림픽로203,37.512486,127.093322
KB국민은행 장안동,KB국민은행,장안동,동대문구,서울특별시 동대문구 장안동 답십리로297,37.571923,127.072387
KB국민은행 장위동,KB국민은행,장위동,성북구,서울특별시 성북구 장위동 돌곶이로40길46,37.617249,127.04915
KB국민은행 장한평역,KB국민은행,장한평역,동대문구,서울특별시 동대문구 장안동 천호대로405,37.562012,127.064182
KB국민은행 전농동,KB국민은행,전농동,동대문구,서울특별시 동대문구 전농동 서울시립대로50,37.576926,127.056074
KB국민은행 정릉동,KB국민은행,정릉동,성북구,서울특별시 성북구 정릉4동 보국문로50,37.608864,127.010085
KB국민은행 종로,KB국민은행,종로,종로구,서울특별시 종로구 종로4가 종로199,37.570662,126.991277
KB국민은행 종로3가,KB국민은행,종로3가,종로구,서울특별시 종로구 종로3가 종로123,37.570662,126.991277
KB국민은행 종로중앙,KB국민은행,종로중앙,종로구,서울특별시 종로구 인사동 인사동5길29,37.571988,126.984842
KB국민은행 종암동,KB국민은행,종암동,성북구,서울특별시 성북구 종암동 종암로44,37.594241,127.036254
KB국민은행 중계동,KB국민은행,중계동,노원구,서울특별시 노원구 중계동 섬밭로258,37.63911,127.064915
KB국민은행 중계북,KB국민은행,중계북,노원구,서울특별시 노원구 중계동 한글비석로261,37.65092,127.076432
KB국민은행 중곡동,KB국민은행,중곡동,광진구,서울특별시 광진구 중곡동 용마산로63,37.559244,127.087404
KB국민은행 중부,KB국민은행,중부,중구,서울특별시 중구 초동 충무로29,37.563839,126.992474
KB국민은행 중앙보훈병원(점),KB국민은행,중앙보훈병원(점),강동구,서울특별시 강동구 둔촌동 진황도로61길53,37.528532,127.146157
KB국민은행 중화동,KB국민은행,중화동,중랑구,서울특별시 중랑구 중화동 동일로757,37.597996,127.079805
KB국민은행 증권타운,KB국민은행,증권타운,영등포구,서울특별시 영등포구 여의도동 여의나루로67,37.523563,126.926507
KB국민은행 창동,KB국민은행,창동,도봉구,서울특별시 도봉구 창동 노해로383,37.652582,127.050727
KB국민은행 창신동,KB국민은행,창신동,종로구,서울특별시 종로구 창신동 종로330,37.572309,127.014595
KB국민은행 천호역,KB국민은행,천호역,강동구,서울특별시 강동구 성내동 천호대로1032,37.537344,127.126523
KB국민은행 청계,KB국민은행,청계,종로구,서울특별시 종로구 예지동 청계천로199,37.569657,126.999697
KB국민은행 청담동,KB국민은행,청담동,강남구,서울특별시 강남구 청담동 도산대로524,37.524268,127.050839
KB국민은행 청담스타PB센터,KB국민은행,청담스타PB센터,강남구,서울특별시 강남구 청담동 압구정로416,37.526929,127.042403
KB국민은행 청담역,KB국민은행,청담역,강남구,서울특별시 강남구 청담동 삼성로706,37.519343,127.050302
KB국민은행 청담영동(점),KB국민은행,청담영동(점),강남구,서울특별시 강남구 청담동 영동대로720,37.522188,127.056461
KB국민은행 청량리,KB국민은행,청량리,동대문구,서울특별시 동대문구 청량리동 왕산로239,37.583058,127.048215
KB국민은행 충무로역,KB국민은행,충무로역,중구,서울특별시 중구 충무로4가 퇴계로213,37.561906,126.99549
KB국민은행 태릉역,KB국민은행,태릉역,노원구,서울특별시 노원구 공릉동 동일로1022,37.621435,127.074768
KB국민은행 태평로(점),KB국민은행,태평로(점),중구,서울특별시 중구 태평로1가 세종대로21길40,37.568268,126.975847
KB국민은행 테크노마트,KB국민은행,테크노마트,광진구,서울특별시 광진구 구의동 광나루로56길85,37.535725,127.095692
KB국민은행 테헤란로,KB국민은행,테헤란로,강남구,서울특별시 강남구 역삼동 테헤란로334,37.503945,127.048528
KB국민은행 테헤란중앙,KB국민은행,테헤란중앙,강남구,서울특별시 강남구 역삼동 언주로508,37.503941,127.042968
KB국민은행 퇴계로,KB국민은행,퇴계로,중구,서울특별시 중구 남창동 남대문시장8길2,37.560298,126.978453
KB국민은행 학동,KB국민은행,학동,강남구,서울특별시 강남구 신사동 도산대로237,37.521714,127.032985
KB국민은행 학동사거리,KB국민은행,학동사거리,강남구,서울특별시 강남구 신사동 선릉로801,37.52358,127.038814
KB국민은행 학동역(점),KB국민은행,학동역(점),강남구,서울특별시 강남구 논현동 논현로667,37.513568,127.030526
KB국민은행 한남PB센터,KB국민은행,한남PB센터,용산구,서울특별시 용산구 한남동 이태원로267,37.538513,127.001124
KB국민은행 한남동,KB국민은행,한남동,용산구,서울특별시 용산구 한남동 한남대로21길8,37.534519,127.006109
KB국민은행 한성백제역,KB국민은행,한성백제역,송파구,서울특별시 송파구 방이동 백제고분로501,37.515091,127.114799
KB국민은행 한티역,KB국민은행,한티역,강남구,서울특별시 강남구 대치동 도곡로408,37.49661,127.055244
KB국민은행 합정역,KB국민은행,합정역,마포구,서울특별시 마포구 서교동 양화로45,37.550761,126.91319
KB국민은행 혜화동,KB국민은행,혜화동,종로구,서울특별시 종로구 동숭동 대학로86,37.579196,127.003291
KB국민은행 홍제동,KB국민은행,홍제동,서대문구,서울특별시 서대문구 홍제동 통일로464,37.589963,126.94322
KB국민은행 화곡동,KB국민은행,화곡동,강서구,서울특별시 강서구 화곡동 곰달래로133,37.530841,126.84768
KB국민은행 화곡역,KB국민은행,화곡역,강서구,서울특별시 강서구 화곡동 강서로177,37.542168,126.839472
KB국민은행 화양동,KB국민은행,화양동,성동구,서울특별시 성동구 성수동2가 광나루로310,37.547801,127.064457
KB국민은행 훼밀리타운(점),KB국민은행,훼밀리타운(점),송파구,서울특별시 송파구 문정동 중대로80,37.491762,127.117842
KB국민은행 휘경동,KB국민은행,휘경동,동대문구,서울특별시 동대문구 휘경동 망우로123,37.591704,127.066607
KB국민은행 흑석동,KB국민은행,흑석동,동작구,서울특별시 동작구 흑석동 서달로158,37.507337,126.962038
NH농협은행 NH금융PLUS 광화문역센터,NH농협은행,NH금융PLUS 광화문역센터,종로구,서울특별시 종로구 사직동 서울특별시 종로구 세종대로 149,37.569571,126.97614
NH농협은행 NH금융PLUS 파크원센터,NH농협은행,NH금융PLUS 파크원센터,영등포구,서울특별시 영등포구 여의동 서울특별시 영등포구 여의대로 108 2층(파크원타워2),37.527098,126.927301
NH농협은행 aT센터,NH농협은행,aT센터,서초구,서울특별시 서초구 양재2동 서울특별시 서초구 강남대로 27 aT센터 1층,37.467943,127.039463
NH농협은행 가락동,NH농협은행,가락동,송파구,서울특별시 송파구 가락본동 서울특별시 송파구 중대로9길 60,37.497626,127.120146
NH농협은행 가락시장,NH농협은행,가락시장,송파구,서울특별시 송파구 가락1동 서울특별시 송파구 양재대로 932 업무동 1층,37.495052,127.115816
NH농협은행 가락시장 중앙,NH농협은행,가락시장 중앙,송파구,서울특별시 송파구 가락1동 서울특별시 송파구 양재대로 932 청과동 2층,37.496025,127.110753
NH농협은행 가산IT,NH농협은행,가산IT,금천구,서울특별시 금천구 가산동 서울특별시 금천구 가산디지털2로 108,37.477895,126.880665
NH농협은행 가양중앙,NH농협은행,가양중앙,강서구,서울특별시 강서구 가양제2동 서울특별시 강서구 양천로57길 9-7,37.563403,126.851432
NH농협은행 가좌,NH농협은행,가좌,서대문구,서울특별시 서대문구 남가좌제1동 서울특별시 서대문구 모래내로 143,37.569516,126.917257
NH농협은행 감사원,NH농협은행,감사원,종로구,서울특별시 종로구 삼청동 서울특별시 종로구 북촌로 109,37.586803,126.985014
NH농협은행 강남대기업금융센터,NH농협은행,강남대기업금융센터,강남구,서울특별시 강남구 역삼1동 서울특별시 강남구 강남대로 388 강남센터 빌딩 18층,37.497449,127.028423
NH농협은행 강남세곡,NH농협은행,강남세곡,강남구,서울특별시 강남구 세곡동 서울특별시 강남구 자곡로 180 유탑유블레스상가 1층,37.473673,127.103202
NH농협은행 강남역금융센터,NH농협은행,강남역금융센터,강남구,서울특별시 강남구 역삼1동 서울특별시 강남구 강남대로 388 2층,37.497449,127.028423
NH농협은행 강남중앙금융센터,NH농협은행,강남중앙금융센터,강남구,서울특별시 강남구 역삼1동 서울특별시 강남구 테헤란로 137,37.500374,127.034005
NH농협은행 강북중앙금융센터,NH농협은행,강북중앙금융센터,강북구,서울특별시 강북구 수유3동 서울특별시 강북구 도봉로 373,37.640585,127.027977
NH농협은행 개포동,NH농협은행,개포동,강남구,서울특별시 강남구 개포4동 서울특별시 강남구 논현로 98,37.478609,127.044798
NH농협은행 거여역,NH농협은행,거여역,송파구,서울특별시 송파구 거여2동 서울특별시 송파구 오금로 512 2층 NH농협은행거여역지점,37.49273,127.145547
NH농협은행 공덕역,NH농협은행,공덕역,마포구,서울특별시 마포구 아현동 서울특별시 마포구 마포대로 127 풍림빌딩1층 농협은행공덕역지점,37.546193,126.952132
NH농협은행 공항동,NH농협은행,공항동,강서구,서울특별시 강서구 공항동 서울특별시 강서구 공항대로 11,37.561987,126.808488
NH농협은행 광화문금융센터,NH농협은행,광화문금융센터,중구,서울특별시 중구 명동 서울특별시 중구 세종대로 124,37.56742,126.977873
NH농협은행 광화문대기업금융센터,NH농협은행,광화문대기업금융센터,종로구,서울특별시 종로구 종로1.2.3.4가동 서울특별시 종로구 종로5길 7 Tower 8빌딩 5층,37.570616,126.98056
NH농협은행 구로,NH농협은행,구로,구로구,서울특별시 구로구 구로제4동 서울특별시 구로구 구로동로 124,37.489632,126.884537
NH농협은행 구로디지털금융센터,NH농협은행,구로디지털금융센터,구로구,서울특별시 구로구 구로제3동 서울특별시 구로구 디지털로30길 28 1층 101호,37.482108,126.895281
NH농협은행 구파발,NH농협은행,구파발,은평구,서울특별시 은평구 진관동 서울특별시 은평구 진관2로 29-21 드림스퀘어 2층,37.635741,126.919342
NH농협은행 국회,NH농협은행,국회,영등포구,서울특별시 영등포구 여의동 서울특별시 영등포구 의사당대로 1,37.529371,126.916617
NH농협은행 금호동,NH농협은행,금호동,성동구,서울특별시 성동구 금호2.3가동 서울특별시 성동구 금호로 157,37.554914,127.019743
NH농협은행 길동,NH농협은행,길동,강동구,서울특별시 강동구 길동 서울특별시 강동구 양재대로 1458,37.535896,127.139601
NH농협은행 길음역,NH농협은행,길음역,성북구,서울특별시 성북구 길음제1동 서울특별시 성북구 길음로7길 6,37.604342,127.02243
NH농협은행 남대문금융센터,NH농협은행,남대문금융센터,중구,"서울특별시 중구 회현동 서울특별시 중구 소월로 8 제분회관 1,2층",37.558818,126.975306
NH농협은행 남서초,NH농협은행,남서초,서초구,서울특별시 서초구 서초1동 서울특별시 서초구 서초중앙로 62 메타빌드빌딩 1층 농협은행 남서초지점,37.487299,127.015269
NH농협은행 남영동,NH농협은행,남영동,용산구,서울특별시 용산구 남영동 서울특별시 용산구 한강대로 294,37.544483,126.972484
NH농협은행 녹번,NH농협은행,녹번,은평구,서울특별시 은평구 응암제1동 서울특별시 은평구 은평로 240 힐스테이트녹번역상가 B332호,37.600753,126.934699
NH농협은행 논현남,NH농협은행,논현남,강남구,서울특별시 강남구 논현1동 서울특별시 강남구 봉은사로 111 2층,37.505196,127.0257
NH농협은행 논현동금융센터,NH농협은행,논현동금융센터,강남구,서울특별시 강남구 논현1동 서울특별시 강남구 학동로 158,37.512838,127.028293
NH농협은행 당산,NH농협은행,당산,영등포구,서울특별시 영등포구 영등포동 서울특별시 영등포구 버드나루로 84,37.525691,126.909386
NH농협은행 대치동,NH농협은행,대치동,강남구,서울특별시 강남구 대치1동 서울특별시 강남구 삼성로 233,37.498055,127.060898
NH농협은행 도곡금융센터,NH농협은행,도곡금융센터,강남구,서울특별시 강남구 도곡2동 서울특별시 강남구 언주로30길 27 우성리빙텔 2층,37.488423,127.05259
NH농협은행 도곡동,NH농협은행,도곡동,강남구,서울특별시 강남구 도곡1동 서울특별시 강남구 도곡로 194,37.491987,127.040673
NH농협은행 도봉,NH농협은행,도봉,도봉구,서울특별시 도봉구 방학제1동 서울특별시 도봉구 도봉로 699,37.666879,127.042728
NH농협은행 독산센터,NH농협은행,독산센터,금천구,서울특별시 금천구 독산제1동 서울특별시 금천구 시흥대로 411 2층,37.470425,126.89762
NH농협은행 동대문,NH농협은행,동대문,종로구,서울특별시 종로구 종로1.2.3.4가동 서울특별시 종로구 종로 196,37.570606,126.999393
NH농협은행 등촌동,NH농협은행,등촌동,강서구,"서울특별시 강서구 등촌제3동 서울특별시 강서구 강서로 396 팬코타워 1층, 2층",37.560899,126.839374
NH농협은행 등촌역,NH농협은행,등촌역,강서구,서울특별시 강서구 등촌제1동 서울특별시 강서구 공항대로 525,37.551541,126.865305
NH농협은행 뚝섬,NH농협은행,뚝섬,성동구,서울특별시 성동구 성수2가제1동 서울특별시 성동구 성덕정길 87,37.537954,127.053222
NH농협은행 마곡기업센터,NH농협은행,마곡기업센터,강서구,서울특별시 강서구 가양제1동 서울특별시 강서구 양천로30길 123-28 2층,37.567293,126.823835
NH농협은행 마곡역,NH농협은행,마곡역,강서구,"서울특별시 강서구 가양제1동 서울특별시 강서구 마곡중앙로 76 2층(마곡동, 힐스테이트에코마곡역)",37.560396,126.827508
NH농협은행 마들역,NH농협은행,마들역,노원구,서울특별시 노원구 상계8동 서울특별시 노원구 동일로 1553,37.667073,127.056774
NH농협은행 마포금융센터,NH농협은행,마포금융센터,마포구,서울특별시 마포구 용강동 서울특별시 마포구 마포대로 67,37.541849,126.9483
NH농협은행 면목역,NH농협은행,면목역,중랑구,서울특별시 중랑구 면목본동 서울특별시 중랑구 면목로 431,37.590464,127.086752
NH농협은행 명동,NH농협은행,명동,중구,서울특별시 중구 명동 서울특별시 중구 명동길 73 2층,37.56439,126.986232
NH농협은행 명일동,NH농협은행,명일동,강동구,서울특별시 강동구 명일제2동 서울특별시 강동구 고덕로 262 2층 201호,37.554668,127.154623
NH농협은행 목동,NH농협은행,목동,양천구,서울특별시 양천구 목4동 서울특별시 양천구 목동중앙로 71,37.536024,126.870194
NH농협은행 목동역금융센터,NH농협은행,목동역금융센터,양천구,서울특별시 양천구 신정4동 서울특별시 양천구 목동로 207,37.527033,126.863866
NH농협은행 반포역센터,NH농협은행,반포역센터,서초구,서울특별시 서초구 반포1동 서울특별시 서초구 잠원로 24 자이프라자 2층,37.507095,127.009894
NH농협은행 방배금융센터,NH농협은행,방배금융센터,서초구,서울특별시 서초구 방배4동 서울특별시 서초구 방배로33길 6 2층,37.492199,126.990403
NH농협은행 법조타운,NH농협은행,법조타운,서초구,서울특별시 서초구 서초3동 서울특별시 서초구 서초대로 254 오퓨런스빌딩1층,37.492021,127.009622
NH농협은행 보라매타운,NH농협은행,보라매타운,동작구,서울특별시 동작구 신대방제2동 서울특별시 동작구 보라매로5길 23 (삼성보라매옴니타워2층),37.492579,126.92361
NH농협은행 보문동,NH농협은행,보문동,성북구,서울특별시 성북구 보문동 서울특별시 성북구 보문로 98,37.584032,127.020379
NH농협은행 본점영업부,NH농협은행,본점영업부,중구,서울특별시 중구 소공동 서울특별시 중구 통일로 120,37.565769,126.967626
NH농협은행 봉은사로,NH농협은행,봉은사로,강남구,서울특별시 강남구 삼성1동 서울특별시 강남구 봉은사로 617 인탑스빌딩1층 농협은행(주)봉은사로지점,37.514934,127.062666
NH농협은행 북부법원,NH농협은행,북부법원,도봉구,서울특별시 도봉구 도봉제2동 서울특별시 도봉구 마들로 749 서울북부지방법원 민원동 1층,37.67739,127.0472
NH농협은행 불광,NH농협은행,불광,은평구,서울특별시 은평구 대조동 서울특별시 은평구 통일로 767 상가1층(호반베르디움 스테이원),37.61068,126.930149
NH농협은행 삼선교,NH농협은행,삼선교,성북구,서울특별시 성북구 삼선동 서울특별시 성북구 동소문로 40 연세빌딩 1층,37.590074,127.010456
NH농협은행 삼성루첸금융센터,NH농협은행,삼성루첸금융센터,강남구,"서울특별시 강남구 대치2동 서울특별시 강남구 테헤란로 510 ,1층 101호(대치동,루첸타워)",37.507001,127.058656
NH농협은행 삼성역금융센터,NH농협은행,삼성역금융센터,강남구,서울특별시 강남구 대치2동 서울특별시 강남구 테헤란로 522,37.507905,127.061344
NH농협은행 삼양동,NH농협은행,삼양동,강북구,서울특별시 강북구 삼각산동 서울특별시 강북구 솔샘로 184,37.619954,127.01284
NH농협은행 상계동,NH농협은행,상계동,노원구,서울특별시 노원구 상계5동 서울특별시 노원구 상계로27길 26,37.659647,127.070118
NH농협은행 상도동,NH농협은행,상도동,동작구,서울특별시 동작구 상도제4동 서울특별시 동작구 상도로 106 1층,37.500472,126.932343
NH농협은행 서교동,NH농협은행,서교동,마포구,서울특별시 마포구 서교동 서울특별시 마포구 와우산로 121,37.553513,126.926758
NH농협은행 서여의도금융센터,NH농협은행,서여의도금융센터,영등포구,서울특별시 영등포구 여의동 서울특별시 영등포구 국회대로76길 22 신관 1층,37.529694,126.922378
NH농협은행 서울대역센터,NH농협은행,서울대역센터,관악구,서울특별시 관악구 중앙동 서울특별시 관악구 남부순환로 1801 라피스빌딩 1층,37.481822,126.950382
NH농협은행 서울대연건,NH농협은행,서울대연건,종로구,서울특별시 종로구 이화동 서울특별시 종로구 대학로 95,37.57978,127.001773
NH농협은행 서울대학교,NH농협은행,서울대학교,관악구,서울특별시 관악구 대학동 서울특별시 관악구 관악로 1 서울대학교 109동 1층,37.461003,126.952369
NH농협은행 서울시교육청,NH농협은행,서울시교육청,종로구,서울특별시 종로구 사직동 서울특별시 종로구 송월길 48,37.570054,126.966814
NH농협은행 서울역,NH농협은행,서울역,중구,서울특별시 중구 회현동 서울특별시 중구 후암로 110 서울시티타워빌딩 1층,37.554303,126.974049
NH농협은행 서울영업부,NH농협은행,서울영업부,강동구,서울특별시 강동구 성내제1동 서울특별시 강동구 올림픽로 528,37.528891,127.120278
NH농협은행 서초동,NH농협은행,서초동,서초구,서울특별시 서초구 서초3동 서울특별시 서초구 반포대로 93 해은빌딩 1층,37.48845,127.008729
NH농협은행 석촌역,NH농협은행,석촌역,송파구,서울특별시 송파구 송파1동 서울특별시 송파구 백제고분로 379 (송파동),37.505963,127.107706
NH농협은행 선정릉역,NH농협은행,선정릉역,강남구,서울특별시 강남구 역삼1동 서울특별시 강남구 선릉로 577 조선내화빌딩 2층,37.509924,127.043661
NH농협은행 성동금융센터,NH농협은행,성동금융센터,성동구,"서울특별시 성동구 행당제1동 서울특별시 성동구 왕십리로 326 4층, 2층",37.562753,127.033895
NH농협은행 성수역,NH농협은행,성수역,성동구,서울특별시 성동구 성수2가제3동 서울특별시 성동구 아차산로 103,37.545055,127.055818
NH농협은행 세종로기업센터,NH농협은행,세종로기업센터,종로구,서울특별시 종로구 사직동 서울특별시 종로구 새문안로 92 광화문오피시아빌딩 5층,37.569699,126.974908
NH농협은행 송파금융센터,NH농협은행,송파금융센터,송파구,서울특별시 송파구 가락본동 서울특별시 송파구 오금로 310,37.502401,127.126317
NH농협은행 수유,NH농협은행,수유,강북구,서울특별시 강북구 수유1동 서울특별시 강북구 도봉로 261 수유프라자 2층,37.631692,127.023468
NH농협은행 시흥동,NH농협은행,시흥동,금천구,서울특별시 금천구 시흥제1동 서울특별시 금천구 시흥대로 215 (시흥동),37.452934,126.900836
NH농협은행 시흥배곧,NH농협은행,시흥배곧,시흥시,경기도 시흥시 배곧1동 경기도 시흥시 서울대학로278번길 61 C동 246호,37.368185,126.730671
NH농협은행 신길동,NH농협은행,신길동,영등포구,"서울특별시 영등포구 신길제3동 서울특별시 영등포구 가마산로 407 (신길동,성락교회복음관빌딩)",37.503948,126.901848
NH농협은행 신당동,NH농협은행,신당동,중구,서울특별시 중구 신당제5동 서울특별시 중구 다산로 240 1층,37.564216,127.016535
NH농협은행 신사동금융센터,NH농협은행,신사동금융센터,강남구,서울특별시 강남구 신사동 서울특별시 강남구 도산대로 146 1층/4층,37.517935,127.024784
NH농협은행 신설동금융센터,NH농협은행,신설동금융센터,종로구,서울특별시 종로구 숭인제2동 서울특별시 종로구 난계로 255 1층(대경빌딩),37.574336,127.022915
NH농협은행 신용산,NH농협은행,신용산,용산구,서울특별시 용산구 한강로동 서울특별시 용산구 한강대로 95 용산 래미안 더센트럴 2층,37.529023,126.967105
NH농협은행 신월동,NH농협은행,신월동,양천구,서울특별시 양천구 신월6동 서울특별시 양천구 신월로 156,37.517347,126.841152
NH농협은행 신촌,NH농협은행,신촌,서대문구,서울특별시 서대문구 신촌동 서울특별시 서대문구 신촌로 155,37.556947,126.943248
NH농협은행 신촌중앙,NH농협은행,신촌중앙,서대문구,서울특별시 서대문구 신촌동 서울특별시 서대문구 신촌로 73,37.556307,126.934521
NH농협은행 압구정동,NH농협은행,압구정동,강남구,서울특별시 강남구 청담동 서울특별시 강남구 도산대로 447,37.524253,127.045062
NH농협은행 압구정역,NH농협은행,압구정역,강남구,서울특별시 강남구 압구정동 서울특별시 강남구 논현로 842 압구정빌딩 1층,37.52404,127.028746
NH농협은행 양재,NH농협은행,양재,강남구,서울특별시 강남구 도곡1동 서울특별시 강남구 강남대로 278 1층,37.488252,127.032702
NH농협은행 양재남,NH농협은행,양재남,서초구,서울특별시 서초구 양재2동 서울특별시 서초구 매헌로 24 농협은행 양재남지점,37.463421,127.035527
NH농협은행 양재하나로,NH농협은행,양재하나로,서초구,서울특별시 서초구 양재2동 서울특별시 서초구 청계산로 10,37.462302,127.045557
NH농협은행 여의도,NH농협은행,여의도,영등포구,서울특별시 영등포구 여의동 서울특별시 영등포구 여의대방로65길 10,37.51943,126.930285
NH농협은행 여의도국제금융센터,NH농협은행,여의도국제금융센터,영등포구,서울특별시 영등포구 여의동 서울특별시 영등포구 국제금융로8길 2 농협재단빌딩1층,37.522017,126.930048
NH농협은행 여의도대기업금융센터,NH농협은행,여의도대기업금융센터,영등포구,서울특별시 영등포구 여의동 서울특별시 영등포구 국제금융로8길 31 9층,37.519746,126.928066
NH농협은행 역삼금융센터,NH농협은행,역삼금융센터,강남구,서울특별시 강남구 역삼1동 서울특별시 강남구 테헤란로 123,37.499553,127.031395
NH농협은행 역삼동,NH농협은행,역삼동,서초구,서울특별시 서초구 서초2동 서울특별시 서초구 강남대로 351 청남빌딩 1층,37.494102,127.028929
